song,gid,year,composer,lyrics
작은 것들을 위한 시,1,2019,Pdogg 외,모든 게 궁금해 How’s your day
FAKE LOVE,1,2018,Pdogg 외,널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어
넌 is 뭔들,2,2016,김도훈 외,Hey 거기 미소가 예쁜 남자 바로 너
음오아예 (Um Oh Ah Yeh),2,2015,김도훈,oh yes 음 오 아 예 너에게 빠져들겠어 자꾸 반응하잖아
HER,4,2014,지코 외,Jesus 무슨 말이 필요해 모두 널 작품이라고 불러
으르렁,5,2013,신혁 외,나 으르렁 으르렁 으르렁 대 나 으르렁 으르렁 으르렁 대
MAMA,5,2012,유영진,Careless careless Shoot anonymous anonymous
CHEER UP,6,2016,블랙아이드필승 외,CHEER UP BABY CHEER UP BABY 좀 더 힘을 내
TT,6,2016,블랙아이드필승 외,이런 내 맘 모르고 너무해 너무해
빨간 맛,11,2017,Ludwig Lindell 외,빨간 맛 궁금해 Honey 깨물면 점점 녹아든 스트로베리 그 맛